zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools,homeType_CONDO,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE
15185762,419 Baden St,94131,San Francisco,CA,37.73348,-122.440078,0.9242988396555802,4,4,0.6388380046536342,0,1.0426387928811216,8753,44:00.0,2362712,3123.0,00:00.0,1986,998.0,Yes,Yes,No,2,Yes,0,No,No,0,64,F,B+,B+,D+,0.0,0.0,0.0,1.0,0.0
2112465006,1466 Church St APT 3,94131,San Francisco,CA,37.747275,-122.427288,-0.7281826065417145,1,1,-0.5761025332355906,0,-0.18486704666167916,2799,54:33.0,514005,286533.7061,00:00.0,1922,863.244668,Yes,Yes,No,0,Yes,0,No,No,0,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
82785357,1310 Fillmore St APT 303,94115,San Francisco,CA,37.78165,-122.432199,-0.2818182064865394,2,2,-0.36916607366632803,0,-0.2801259679811028,5402,26:39.0,992644,52938.0,00:00.0,2007,888.0,Yes,Yes,No,1,Yes,0,No,Yes,0,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
116156239,137 Castro St,94114,San Francisco,CA,37.766801,-122.435257,-0.5151097047732163,1,1,-0.7700603995217636,0,-0.5615586768954911,4500,05:48.0,790703,2601.0,00:00.0,2021,1115.0,Yes,Yes,No,0,No,0,No,Yes,1,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
15181098,4637 25th St,94114,San Francisco,CA,37.749082,-122.441095,-0.5337730246361505,1,1,-0.5761025332355906,0,-0.5801760556549875,4500,47:34.0,1011020,2561.0,00:00.0,1978,863.244668,No,No,No,1,Yes,1,No,No,0,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
241587698,5524 Mission St,94112,San Francisco,CA,37.712502,-122.445328,-0.47545092770280883,1,3,-0.06489016447389309,0,-0.5219975227556761,4755,26:46.0,728577,3193.0,00:00.0,1923,547.0,No,No,No,0,No,0,No,No,0,64,F,B+,B+,D+,0.0,0.0,1.0,0.0,0.0
80747822,855 Folsom St APT 112,94107,San Francisco,CA,37.780767,-122.402141,-0.6317554539165547,2,1,-0.7491504436767858,0,-0.630520550717126,3491,26:40.0,905147,55687.0,00:00.0,2001,908.0,Yes,No,No,0,No,0,No,No,2,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
15129333,251-253 Collingwood St,94114,San Francisco,CA,37.758432,-122.435884,2.8256245506919972,1,4,1.5112878864613266,0,2.964883149799132,15935,54:39.0,3329280,3025.0,00:00.0,1891,1306.0,Yes,No,No,1,Yes,0,No,No,4,64,F,B+,B+,D+,0.0,0.0,1.0,0.0,0.0
82785521,221 Page St,94102,San Francisco,CA,37.773633,-122.424476,-0.2460468434159156,2,3,-0.4066597875952537,0,-0.2931581331127503,4500,54:45.0,1005520,1673.0,00:00.0,1879,956.0,Yes,No,No,0,Yes,2,No,No,0,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
15069867,158 Cervantes Blvd,94123,San Francisco,CA,37.804758,-122.439987,2.4756873032619815,4,4,0.9633028367308751,0,2.4502677719220505,14210,41:15.0,2751911,2500.0,00:00.0,2021,1473.0,Yes,Yes,No,2,Yes,2,No,No,0,64,F,B+,B+,D+,0.0,0.0,0.0,1.0,0.0
