zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
18427363,89 Saint Andrews Ln,94507,Alamo,CA,37.859558,-122.003697,3295000,6,5,4954,SINGLE_FAMILY,66,3295000,10210,08:17.0,2284589,28200,00:00.0,1984,665,Yes,Yes,Yes,2,Yes,2,Yes,No,3,82,A,A+,D,A+
18430457,191 Alamo Ranch Rd,94507,Alamo,CA,37.848395,-122.022581,4580000,5,6,6419,SINGLE_FAMILY,103,4580000,13380,29:26.0,3584518,395525,00:00.0,2002,714,Yes,Yes,Yes,3,Yes,2,No,Yes,3,82,A,A+,D,A+
18420632,1343 Laverock Ln,94507,Alamo,CA,37.867321,-122.033,2088000,4,4,3360,SINGLE_FAMILY,112,2088000,4500,39:27.0,971384,33541,00:00.0,1997,621,Yes,Yes,Yes,3,Yes,3,Yes,Yes,1,82,A,A+,D,A+
18422134,353 Castle Crest Rd,94507,Alamo,CA,37.862583,-122.048307,2999500,4,4,5422,SINGLE_FAMILY,140,2999500,8762,24:34.0,2777500,30870,00:00.0,2002,553,Yes,Yes,Yes,3,Yes,4,Yes,Yes,2,82,A,A+,D,A+
18426554,10 Kemp Ct,94507,Alamo,CA,37.861422,-122.009487,2550000,4,4,4563,SINGLE_FAMILY,162,2550000,7449,54:41.0,1078993,81892,00:00.0,1980,559,Yes,Yes,Yes,4,Yes,1,Yes,No,2,82,A,A+,D,A+
18420445,330 Livorna Heights Rd,94507,Alamo,CA,37.871404,-122.02358,4995000,4,5,6413,SINGLE_FAMILY,168,4995000,14545,44:36.0,3214687,58806,00:00.0,1986,779,Yes,Yes,Yes,3,Yes,4,Yes,No,0,82,A,A+,D,A+
15547460,1826 Bayview Ave,94002,Belmont,CA,37.525373,-122.296638,2400000,2,4,1600,SINGLE_FAMILY,1,2078600,4964,58:00.0,1282585,6499,00:00.0,1959,1500,Yes,Yes,No,2,Yes,0,No,No,0,81,A-,A,C-,A+
15546903,3224 Lori Ct,94002,Belmont,CA,37.515917,-122.325324,1998000,2,3,1980,SINGLE_FAMILY,1,1998000,4894,52:00.0,477716,7091,,1967,1009,Yes,Yes,No,1,Yes,0,No,No,0,81,A-,A,C-,A+
15546616,2504 Monserat Ave,94002,Belmont,CA,37.517662,-122.307325,1700000,2,4,1540,SINGLE_FAMILY,1,1863400,4864,04:00.0,118422,7300,,1958,1104,Yes,Yes,Yes,5,Yes,0,No,No,0,81,A-,A,C-,A+
2068446033,2013 Bishop Rd,94002,Belmont,CA,37.51985,-122.322855,4785000,6,5,4000,SINGLE_FAMILY,5,4785000,4500,49:32.0,514005,29028,,2021,1196,Yes,Yes,Yes,4,Yes,1,No,Yes,2,81,A-,A,C-,A+
